type,question,expected,actual,verdict,reason,mode,retrieval_score,asked_info
paraphrased,mujhe depression ho raha hai delivery ke baad kya karoon,"roz bahar niklo, park ya kisi jagah jaao, yeh sabse zyada madad karta hai","Aapko doctor se milna chahiye, ve aapko sahi guidance denge. Aap apne partner ya family members se bhi baat kar sakti hain, ve aapka saath denge.",FAIL,"The response does not address the main intent of suggesting activities to help with post-delivery depression, instead focusing on seeking medical guidance and support.",data,0.801,False
paraphrased,my baby has runny nose and sneezing a lot,"nasal saline drops, saline nebulisation, keep baby hydrated","Could be a slight viral infection, likely to resolve on its own within 1-7 days. Try using nasal saline to help relieve symptoms.",PASS,"The response correctly addresses the main intent by suggesting nasal saline to relieve symptoms, which aligns with the expected answer of using nasal saline drops and keeping the baby hydrated.",data,0.814,False
paraphrased,gaye ka doodh bachche ko kab se de sakte hain,"1 saal ke baad, full fat, paani mat milao","Bachche ko gaye ka doodh 1 saal ke baad de sakte hain, lekin pehle doctor se consult karein.",PASS,"The response correctly addresses the main intent, advising to give goat's milk after 1 year and consulting a doctor, which is safe and relevant advice.",data,0.779,False
paraphrased,after cesarean what vitamins should I take while nursing,"vitamin B complex, vitamin C, iron, calcium for 1 to 3 months","Supplement iron, calcium, and vitamin D3.",FAIL,"missing key vitamins (B complex, C) and duration",data,0.672,False
paraphrased,infant skin is very flaky and rough what to apply,"apply vaseline or thick emollient before sleep, keep baby well hydrated",Apply a thick layer of vaseline or any emollient before sleep.,PASS,"The response correctly addresses the main intent by suggesting the application of vaseline or emollient before sleep, which is a safe and relevant advice for flaky and rough infant skin.",data,0.695,False
paraphrased,bacha feeder se doodh nahi pita kya karein,"7 se 10 din lagatar koshish karo, jab sabse zyada bhuka ho tab do","Bacha ko feeder se doodh nahi pita to aap use bottle se ya cup se doodh pilane ki koshish karein, ya phir feeder ki nozzle ko thoda loose karke dekhein shayad usse aaraam mile.",FAIL,"The response does not match the expected intent, which is to suggest trying the feeder for 7 to 10 days, especially when the baby is most hungry, but instead offers alternative methods of feeding.",data,0.707,False
new_related,can I give ragi to my 6 month old baby,"yes ragi can be introduced at 6 months in thin porridge form, it is a good source of iron and calcium","At 6 months, you can introduce ragi to your baby. Start with a small amount, about 1-2 teaspoons, mixed with breast milk or formula, and gradually increase the quantity.",PASS,The response correctly addresses the main intent of introducing ragi to a 6-month-old baby and provides safe advice on how to do it.,data,0.918,False
new_related,how much water should I give to a 7 month old baby,20 to 30 ml of water after every solid feed,"For a 7-month-old baby, you can give 50-100 ml of water in a day, in addition to breastfeed.",FAIL,"Incorrect dosage and frequency, expected 20-30 ml after every solid feed, not 50-100 ml in a day",data,0.943,False
new_related,kya breastfeeding ke dauran dental treatment safe hai,haan breastfeeding ke dauran root canal aur cleaning safe hai,"Breastfeeding ke dauran dental treatment safe hai, lekin local anesthesia ka use kar sakte hain, general anesthesia se bachna chahiye.",PASS,"The response correctly addresses the main intent, stating that dental treatment is safe during breastfeeding and provides relevant safety information regarding anesthesia.",data,0.715,False
new_related,how to burp a baby who falls asleep while breastfeeding,"no need to forcefully burp, place on inclined surface for 15 to 20 minutes then lay flat","No need to burp in such situations, put on an inclined plane 15-20 min post feed then lay down straight.",PASS,"The response correctly addresses the main intent, advising no need for forceful burping and providing a safe approach for the baby after feeding.",data,0.802,False
new_related,vitamin d drops kab tak dene chahiye,"winters mein dhoop na mile to regularly do, ya weekly depura dose de sakte ho","Until the baby is 2 years old, then you can stop or give weekly.",PASS,"The response correctly addresses the main intent of when to give vitamin D drops, providing a safe and relevant advice.",data,0.783,False
new_related,can I give banana to my 7 month old,"yes banana can be given to babies from 6 months, mash well before giving","Yes, you can give banana to your 7-month-old baby. Mash and feed in small amounts.",PASS,"The response correctly addresses the main intent, advising to mash and feed banana in small amounts to a 7-month-old baby, ensuring safety and relevance.",data,0.765,False
new_related,baby ko colic hai kya karein,"tummy massage karo, bicycle legs exercise karo, colicaid drops de sakte ho, garam kapde ki sikayi karo","Baby ko colic hai to pehle toh uske paas thoda sa time dena chahiye, phir uske stomach ko thoda sa massage karna chahiye, aur agar problem bani rehti hai to doctor se consult karna chahiye.",FAIL,"Core intent partially missed, key remedies like colicaid drops, bicycle legs exercise, and garam kapde ki sikayi are not mentioned",data,0.836,False
new_related,normal weight gain for exclusively breastfed baby,"400 to 500 grams per month, birth weight should double by 6 months","For an exclusively breastfed baby, a normal weight gain is around 150-200 grams per week.",PASS,"Response correctly addresses normal weight gain for exclusively breastfed baby, providing a reasonable estimate of weekly weight gain.",data,0.753,True
new_related,how to introduce eggs to 6 month old baby,"start with well cooked egg yolk mashed, introduce slowly to check for allergy","Introduce eggs to a 6-month-old baby by making a puree in a mixie, finely grinding, and giving by teaspoon.",FAIL,response lacks information on introducing eggs slowly to check for allergy and does not specify using well-cooked egg yolk,data,0.692,False
new_related,baby ko iron drops kab se start karein,iron drops breastfed babies ko 4 se 6 mahine se shuru kar sakte hain doctor ki salah se,"6 month ke baad iron drops dena shuru kar sakte hain, lekin pehle doctor se consult karein.",PASS,"The response correctly addresses the main intent, advising to start iron drops after consulting a doctor, although the recommended age slightly differs from the expected answer.",data,0.773,False
edge_case,my 2 month old baby has fever of 101,"baby under 3 months with fever must go to doctor immediately, do not wait",3 mahine se chote baby ko fever hai — TURANT doctor ke paas jaiye. / Baby under 3 months with fever must see a doctor immediately. Do NOT wait.,PASS,"The response correctly addresses the main intent, advising a baby under 3 months with fever to see a doctor immediately.",emergency,0.0,False
edge_case,mere naye janam liye bachche ko bukhar hai,"3 mahine se chote baby ko bukhar hai to turant doctor ke paas jaiye, ghar pe ilaaj mat karo",3 mahine se chote baby ko fever hai — TURANT doctor ke paas jaiye. / Baby under 3 months with fever must see a doctor immediately. Do NOT wait.,PASS,The chatbot response correctly addresses the main intent by advising to see a doctor immediately for a baby under 3 months with fever.,emergency,0.0,False
edge_case,stool mein blood aa raha hai baby ke,"aaj hi pediatrician se milein, blood in stool serious ho sakta hai",Blood in stool is serious. Please see a pediatrician TODAY. / Potty mein blood serious hai — aaj hi doctor se milein.,PASS,The chatbot response correctly addresses the main intent by indicating that blood in stool is serious and advising to see a pediatrician immediately.,emergency,0.0,False
edge_case,hi,"bot should greet and ask how it can help, should not crash or give irrelevant answer",What seems to be the concern with your baby?,PASS,"The bot greeted and asked how it can help, addressing the main intent.",weak,0.519,False
edge_case,my baby is not breathing properly and lips are turning blue,"this is an emergency, go to hospital immediately",EMERGENCY: Please go to the hospital immediately. / Yeh emergency hai — abhi hospital jaiye.,PASS,Correctly identifies emergency and advises immediate hospital visit,emergency,0.0,False
